Frequency,PSD
0,-160
8,-38.0168932012562
16,-39.6075738957614
24,-36.0317371860122
32,-38.4297445011474
40,-42.3363812687941
48,-48.5987251961917
56,-45.9941767845456
64,-41.776553343925
72,-44.2240546376263
80,-53.2459549242984
88,-46.081736019942
96,-44.3628277248061
104,-50.0055335649199
112,-45.9169886148025
120,-40.3209340539919
128,-41.8276739426358
136,-45.2119738214805
144,-47.9929956929205
152,-49.5658415637937
160,-41.6785420045413
168,-39.0515519435844
176,-36.4320551008634
184,-38.188089959515
192,-35.3181590029312
200,-7.56390179944225
208,-30.1754489565814
216,-37.3067975854256
224,-43.1485203898756
232,-47.0155643713295
240,-49.4618993840521
248,-50.5376776440762
256,-48.2407258317007
264,-44.2293575448929
272,-54.2714185278905
280,-43.2546381316086
288,-58.8428326237791
296,-52.3476297228643
304,-42.418527947745
312,-44.1460709291366
320,-45.9360474386821
328,-57.9899021737523
336,-44.0399316408649
344,-38.6599634978332
352,-45.543932791282
360,-40.1523666207753
368,-39.2786439355635
376,-39.1357455599148
384,-35.3490080748173
392,-25.5993792179262
400,0
408,-31.4983454705991
416,-36.0525309379907
424,-41.855794907044
432,-39.2047238857612
440,-42.319785780684
448,-44.9981876686807
456,-47.1546497441297
464,-48.3064749032253
472,-49.1358132469672
480,-40.5505170665146
488,-60.7670187044035
496,-47.4967073805221
